size,block_size,reps,root_diff_pixels,iter_diff_pixels,max_iter_diff,convergence_fraction_delta,mean_iterations_delta,root0_fraction_delta,root1_fraction_delta,root2_fraction_delta,reference_seconds,triton_seconds,speedup
2048,256,3,118,16564,50,-4.76837158203125e-07,0.0005148959141516585,-2.86102294921875e-06,1.1920928955078125e-06,1.1920928955078125e-06,0.5177859879986499,0.0023913980003271718,216.5202061421021
3072,256,3,222,36840,53,-8.477105034598864e-07,0.0004061084112656488,-2.9669867621651136e-06,1.0596381292971024e-06,1.0596381292971024e-06,1.0571206119966519,0.0051776680011244025,204.16925375807864
