dimension,level_max,family,delta,predicted_points,unique_points,estimate,exact,relative_error,weight_sum_error,elapsed_s
10,6,tanh,0.1,171425,171425,2.4142317036821184e+00,2.5501640398773451e+00,5.330337e-02,1.894307e-11,3.495
10,6,tanh,0.05,171425,171425,2.3026071811848405e+00,2.5501640398773451e+00,9.707488e-02,1.894307e-11,3.496
10,6,tanh,0.02,171425,171425,2.3045267472522184e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.454
10,6,tanh,0.01,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.488
10,6,tanh,0.005,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.494
12,5,quintic,0.5,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.824
12,5,quintic,0.2,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.802
12,5,quintic,0.1,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.832
12,5,quintic,0.05,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.806
12,5,quintic,0.02,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.825
12,5,quintic,0.01,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.802
12,5,quintic,0.005,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.797
12,5,tanh,0.5,93489,93489,1.0218078102069157e+01,1.3352627688545893e+00,6.652485e+00,2.697220e-11,1.836
12,5,tanh,0.2,93489,93489,2.1774049620957742e-01,1.3352627688545893e+00,8.369306e-01,2.697220e-11,1.799
12,5,tanh,0.1,93489,93489,1.2525752922309090e-04,1.3352627688545893e+00,9.999062e-01,2.697220e-11,1.802
12,5,tanh,0.05,93489,93489,3.9045112821946161e-11,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.846
12,5,tanh,0.02,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.807
12,5,tanh,0.01,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.800
12,5,tanh,0.005,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.697220e-11,1.843
15,5,quintic,0.5,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.840
15,5,quintic,0.2,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.938
15,5,quintic,0.1,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.907
15,5,quintic,0.05,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.925
15,5,quintic,0.02,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.948
15,5,quintic,0.01,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.061711e-10,5.939
