T_K,C_V_J_per_K
5.0,0.3103531092
25.0,38.7307578015
50.0,289.3473733521
100.0,1153.2637781875
200.0,2004.8881040579
300.0,2257.7972889528
428.0,2373.8868811881
500.0,2405.2364507489
