dimension,selection_rule,q_pattern,q2_axis_count,q3_axis_count,q4_axis_count,q5_axis_count,q6_axis_count,total_points,coefficient_inside_points,coefficient_estimate,reference_volume,predicted_relative_error,estimated_strict_count_runtime_h,estimated_strict_count_runtime_min,points_ratio_vs_q345_main,points_ratio_vs_q3456_fast,predictor_kind
27,minimum_points_with_predicted_relative_error_le_0.02,2^1 3^16 4^7 5^0 6^3,1,16,7,0,3,304679870005248,516,2.273085768574310036e-04,2.2287212472127399e-04,1.990582e-02,0.027982,1.678933,3.023308800e-02,7.381125000e-02,coefficient_oracle_for_parameter_selection_runtime=0.017706s
28,minimum_points_with_predicted_relative_error_le_0.02,2^1 3^16 4^7 5^2 6^2,1,16,7,2,2,1269499458355200,487,1.029760715623896655e-04,1.0463810492484565e-04,1.588363e-02,0.116593,6.995555,3.149280000e-02,7.688671875e-02,coefficient_oracle_for_parameter_selection_runtime=0.016735s
29,minimum_points_with_predicted_relative_error_le_0.02,2^1 3^14 4^12 5^0 6^2,1,14,12,0,2,5777633090469888,529,4.915589273338612968e-05,4.8287822738917413e-05,1.797700e-02,0.530626,31.837546,3.822059520e-02,8.748000000e-02,coefficient_oracle_for_parameter_selection_runtime=0.017880s
30,minimum_points_with_predicted_relative_error_le_0.02,2^1 3^19 4^1 5^9 6^0,1,19,1,9,0,18160335421875000,375,2.217212263133558800e-05,2.1915353447830204e-05,1.171641e-02,1.667870,100.072211,3.003387451e-02,6.874208339e-02,coefficient_oracle_for_parameter_selection_runtime=0.018031s
