dimension,q_pattern,q2_axis_count,q3_axis_count,q4_axis_count,q5_axis_count,q6_axis_count,tail_dimension,prefix_chunk_points,batch_prefixes,storage_mode,total_points,direct_inside_points,direct_estimate,reference_volume,direct_relative_error,within_10_percent,direct_total_runtime_s,direct_build_runtime_s,direct_count_runtime_s,direct_count_points_per_s,threads,predicted_inside_points,predicted_estimate,predicted_relative_error,inside_points_match_prediction,estimate_abs_diff_prediction,mode
27,2^1 3^16 4^7 5^0 6^3,1,16,7,0,3,8,128,16,rank8,304679870005248,516,2.273085768574309967e-04,2.2287212472127399e-04,1.990582e-02,true,100.762576963,0.001678144,100.760898586,3.023790719e+12,88,516,2.273085768574310036e-04,1.990582e-02,true,0.000000000000000000e+00,mixed_q26_tiled_batch_avx2
28,2^1 3^16 4^7 5^2 6^2,1,16,7,2,2,8,128,16,rank8,1269499458355200,487,1.029760715623896702e-04,1.0463810492484565e-04,1.588363e-02,true,457.955734538,0.001966783,457.953767492,2.772112708e+12,88,487,1.029760715623896655e-04,1.588363e-02,true,0.000000000000000000e+00,mixed_q26_tiled_batch_avx2
29,2^1 3^14 4^12 5^0 6^2,1,14,12,0,2,8,128,16,rank8,5777633090469888,529,4.915589273338612715e-05,4.8287822738917413e-05,1.797700e-02,true,2068.707982155,0.001274515,2068.706707395,2.792872025e+12,88,529,4.915589273338612968e-05,1.797700e-02,true,0.000000000000000000e+00,mixed_q26_tiled_batch_avx2
30,2^1 3^19 4^1 5^9 6^0,1,19,1,9,0,10,128,16,rank8,18160335421875000,375,2.217212263133558743e-05,2.1915353447830204e-05,1.171641e-02,true,6681.276902926,0.071216119,6681.205686530,2.718122488e+12,88,375,2.217212263133558800e-05,1.171641e-02,true,0.000000000000000000e+00,mixed_q26_tiled_batch_avx2
