function,h,root,iterations,residual,reference,abs_error,status
f,0.2,0.19616428118784215,2,-2.7755575615628914e-17,0.19616428118784215,0.0,ok
g,0.2,,,,,,"no root detected in (0, h)"
f,0.5,0.45018361129487355,2,-2.7755575615628914e-17,0.45018361129487355,0.0,ok
g,0.5,,,,,,"no root detected in (0, h)"
f,1.0,0.7390851332151607,3,0.0,0.7390851332151607,0.0,ok
g,1.0,,,,,,"no root detected in (0, h)"
f,2.0,1.029866529322259,2,1.5543122344752192e-15,1.0298665293222589,2.220446049250313e-16,ok
g,2.0,1.8954942670339807,3,1.2212453270876722e-15,1.895494267033981,2.220446049250313e-16,ok
