method,tol,max_iter,grid_size,render_grid,workers,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction
newton,5e-07,55,20000,5000,80,0.9999997275,6.81450451445248,0.3418788825,0.3290604225,0.3290604225
secant,5e-07,65,20000,5000,80,0.9452318,9.114682276876424,0.3598415925,0.315501255,0.2698889525
