formula,family,accuracy_order,approximation,abs_error,signed_error
Forward O(h),forward,1,4189.7128,1787.394198541654,1787.394198541654
Backward O(h),backward,1,1468.5998999999993,933.7187014583469,-933.7187014583469
Central O(h^2),central,2,2460.877300000001,58.55869854165485,58.55869854165485
Central O(h^4),central,4,2399.497458333334,2.821143125011986,-2.821143125011986
