h,log10_h,measured_abs_error,model_abs_error
1e-20,-20.0,0.8775825618903728,6711.957540458843
1.2589254117941713e-20,-19.9,0.8775825618903728,5331.497384656986
1.5848931924611108e-20,-19.8,0.8775825618903728,4234.958905991728
1.9952623149688828e-20,-19.7,0.8775825618903728,3363.9474319262727
2.511886431509572e-20,-19.6,0.8775825618903728,2672.078425307289
3.162277660168379e-20,-19.5,0.8775825618903728,2122.50733861917
3.9810717055349855e-20,-19.4,0.8775825618903728,1685.9675074746924
5.011872336272715e-20,-19.3,0.8775825618903728,1339.2115940148758
6.309573444801943e-20,-19.2,0.8775825618903728,1063.773581396124
7.94328234724279e-20,-19.1,0.8775825618903728,844.9853910567141
1e-19,-19.0,0.8775825618903728,671.1957540458843
1.2589254117941713e-19,-18.9,0.8775825618903728,533.1497384656985
1.584893192461111e-19,-18.8,0.8775825618903728,423.49589059917275
1.995262314968883e-19,-18.7,0.8775825618903728,336.39474319262723
2.5118864315095717e-19,-18.6,0.8775825618903728,267.20784253072895
3.162277660168379e-19,-18.5,0.8775825618903728,212.250733861917
3.9810717055349853e-19,-18.4,0.8775825618903728,168.59675074746926
5.011872336272715e-19,-18.3,0.8775825618903728,133.92115940148759
6.309573444801943e-19,-18.2,0.8775825618903728,106.3773581396124
7.943282347242789e-19,-18.1,0.8775825618903728,84.49853910567141
1e-18,-18.0,0.8775825618903728,67.11957540458842
1.2589254117941713e-18,-17.9,0.8775825618903728,53.314973846569856
1.5848931924611109e-18,-17.8,0.8775825618903728,42.34958905991728
1.995262314968883e-18,-17.7,0.8775825618903728,33.639474319262725
2.5118864315095718e-18,-17.6,0.8775825618903728,26.720784253072893
3.1622776601683795e-18,-17.5,0.8775825618903728,21.2250733861917
3.981071705534985e-18,-17.4,0.8775825618903728,16.859675074746928
5.011872336272715e-18,-17.3,0.8775825618903728,13.39211594014876
6.309573444801943e-18,-17.2,0.8775825618903728,10.63773581396124
7.94328234724279e-18,-17.1,0.8775825618903728,8.44985391056714
1e-17,-17.0,0.8775825618903728,6.711957540458842
1.2589254117941713e-17,-16.9,0.8775825618903728,5.331497384656985
1.584893192461111e-17,-16.8,0.8775825618903728,4.234958905991727
1.9952623149688827e-17,-16.7,0.8775825618903728,3.3639474319262725
2.5118864315095718e-17,-16.6,0.8775825618903728,2.6720784253072893
3.1622776601683796e-17,-16.5,0.8775825618903728,2.1225073386191697
3.9810717055349855e-17,-16.4,0.8775825618903728,1.6859675074746925
5.0118723362727144e-17,-16.3,0.8775825618903728,1.339211594014876
6.309573444801943e-17,-16.2,0.8820023519516222,1.0637735813961242
7.943282347242789e-17,-16.1,0.5201054165692229,0.8449853910567142
1e-16,-16.0,0.23264046273478378,0.6711957540458843
1.2589254117941714e-16,-15.899999999999999,0.004298933410377459,0.5331497384656985
1.5848931924611109e-16,-15.8,0.17707919049211462,0.4234958905991728
1.995262314968883e-16,-15.7,0.04293815225859632,0.3363947431926273
2.511886431509582e-16,-15.6,0.21460094136507313,0.2672078425307279
3.1622776601683793e-16,-15.5,0.00012580525380245788,0.21225073386191706
3.981071705534986e-16,-15.399999999999999,0.09848139113653398,0.16859675074746933
5.011872336272715e-16,-15.3,0.11925121112003245,0.13392115940148772
6.309573444801943e-16,-15.2,0.0022098950306246312,0.10637735813961256
7.943282347242821e-16,-15.1,0.03896977481461883,0.08449853910567127
1e-15,-15.0,0.010595857809752363,0.06711957540458866
1.2589254117941714e-15,-14.899999999999999,0.03979514135466011,0.05331497384657015
1.584893192461111e-15,-14.8,0.036978516212463064,0.042349589059917654
1.995262314968883e-15,-14.7,0.01270480838352206,0.0336394743192632
2.511886431509582e-15,-14.6,0.006392932143360119,0.026720784253073386
3.1622776601683794e-15,-14.5,0.01742836208908105,0.021225073386192454
