formula,accuracy_order,best_h,best_abs_error
Central O(h^4),4,0.0006309573444801943,8.881784197001252e-15
Central O(h^2),2,1.5848931924611175e-06,1.7739143487460751e-12
Forward O(h^2),2,7.943282347242822e-06,5.437983396916479e-12
Backward O(h^2),2,3.981071705534985e-06,1.2422618489438264e-11
Forward O(h),1,1e-08,2.850324420933248e-10
Backward O(h),1,1e-08,2.850324420933248e-10
