formula,accuracy_order,truncation_constant,roundoff_constant_estimate,model_best_h,empirical_best_h,best_h_ratio_empirical_over_model,model_min_error,empirical_min_error
Forward O(h),1,14.7781121978613,29.5562243957226,1.4901161193847656e-08,1.7103410003378377e-08,1.147790415852959,4.40422064002195e-07,2.2081330541823263e-08
Backward O(h),1,14.7781121978613,29.5562243957226,1.4901161193847656e-08,1.1094628943275195e-08,0.7445479448847188,4.40422064002195e-07,2.349801420109543e-08
Forward O(h^2),2,12.31509349821775,59.1124487914452,6.434880564130781e-06,2.976351441631313e-07,0.046253406135026785,1.529818643163185e-09,1.1503331620588142e-10
Backward O(h^2),2,12.31509349821775,59.1124487914452,6.434880564130781e-06,6.158482110660255e-06,0.957046840152524,1.529818643163185e-09,3.7612579717460903e-11
Central O(h^2),2,6.157546749108875,14.7781121978613,5.107368088395462e-06,3.3598182862837743e-06,0.6578375061546229,4.818626777607276e-10,1.1542766742422828e-11
Central O(h^4),4,1.724113089750485,22.16716829679195,0.0008137648775505535,0.00030283286655749455,0.37213804000613393,3.780345728964929e-12,6.750155989720952e-14
