formula,h,approximation,abs_error
Forward O(h),0.1,23.70844618530768,1.5412778885157294
Forward O(h),0.01,22.315567025027505,0.14839872823555567
Forward O(h),0.001,22.181952568383068,0.01478427159111817
Forward O(h),0.0001,22.168646169635764,0.0014778728438145095
Forward O(h),1e-05,22.167316078558482,0.00014778176653251762
Forward O(h),1e-06,22.167183077570485,1.4780778535339323e-05
Forward O(h),1e-07,22.167169735354264,1.4385623146040416e-06
Forward O(h),1e-08,22.167168189923814,1.068681356741763e-07
Forward O(h),1e-09,22.1671694333736,1.136581651905999e-06
Forward O(h),1e-10,22.16717476244412,6.46565217010675e-06
Forward O(h),1e-11,22.167156998875726,1.1297916223895754e-05
Forward O(h),1e-12,22.168933355715126,0.0017650589231763547
Backward O(h),0.1,20.749127575306918,1.4180407214850312
Backward O(h),0.01,22.020001086526264,0.14716721026568536
Backward O(h),0.001,22.152396340292313,0.014771956499636474
Backward O(h),0.0001,22.16569054715123,0.0014777496407205604
Backward O(h),1e-05,22.167020516583587,0.0001477802083620361
Backward O(h),1e-06,22.16715351721632,1.4779575629120245e-05
Backward O(h),1e-07,22.167166822129047,1.4746629020123692e-06
Backward O(h),1e-08,22.16716801228813,2.8450381961420135e-07
Backward O(h),1e-09,22.1671694333736,1.136581651905999e-06
Backward O(h),1e-10,22.16717476244412,6.46565217010675e-06
Backward O(h),1e-11,22.167334634559666,0.0001663377677161293
Backward O(h),1e-12,22.168933355715126,0.0017650589231763547
Forward O(h^2),0.1,22.03230486614652,0.13486343064542794
Forward O(h^2),0.01,22.16592564326607,0.0012426535258782678
Forward O(h^2),0.001,22.16715597061114,1.2326180808486242e-05
Forward O(h^2),0.0001,22.167168173750085,1.2304186469691558e-07
Forward O(h^2),1e-05,22.16716829570586,1.0860894406050647e-09
Forward O(h^2),1e-06,22.167168306275187,9.483237306540104e-09
Forward O(h^2),1e-07,22.16716822545095,7.134099888617129e-08
Forward O(h^2),1e-08,22.167168101105972,1.9568597764418882e-07
Forward O(h^2),1e-09,22.16717120973044,2.9129384913062495e-06
Forward O(h^2),1e-10,22.16720140779671,3.311100476111051e-05
Forward O(h^2),1e-11,22.167334634559666,0.0001663377677161293
Forward O(h^2),1e-12,22.170709712554526,0.003541415762576605
Backward O(h^2),0.1,22.054521341023836,0.11264695576811334
Backward O(h^2),0.01,22.165947810927378,0.0012204858645716854
Backward O(h^2),0.001,22.16715599277208,1.2304019868736304e-05
Backward O(h^2),0.0001,22.167168173652385,1.231395643230826e-07
Backward O(h^2),1e-05,22.16716829614995,6.420002307550021e-10
Backward O(h^2),1e-06,22.167168289399797,7.392152667762275e-09
Backward O(h^2),1e-07,22.167168296505224,2.8672531016127323e-10
Backward O(h^2),1e-08,22.167167657016762,6.397751874942514e-07
Backward O(h^2),1e-09,22.16717120973044,2.9129384913062495e-06
Backward O(h^2),1e-10,22.167156998875726,1.1297916223895754e-05
Backward O(h^2),1e-11,22.167512270243606,0.00034397345165615434
Backward O(h^2),1e-12,22.168933355715126,0.0017650589231763547
Central O(h^2),0.1,22.228786880307297,0.061618583515347325
Central O(h^2),0.01,22.167784055776885,0.0006157589849351552
Central O(h^2),0.001,22.16717445433769,6.157545740848036e-06
Central O(h^2),0.0001,22.167168358393496,6.160154697454345e-08
Central O(h^2),1e-05,22.167168297571035,7.790852407651983e-10
Central O(h^2),1e-06,22.167168297393403,6.01453109538852e-10
Central O(h^2),1e-07,22.167168278741656,1.8050293704163778e-08
Central O(h^2),1e-08,22.167168101105972,1.9568597764418882e-07
Central O(h^2),1e-09,22.1671694333736,1.136581651905999e-06
Central O(h^2),1e-10,22.16717476244412,6.46565217010675e-06
Central O(h^2),1e-11,22.167245816717696,7.751992574611677e-05
Central O(h^2),1e-12,22.168933355715126,0.0017650589231763547
Central O(h^4),0.1,22.166995621399916,0.00017267539203302817
Central O(h^4),0.01,22.167168279550342,1.7241607253026814e-08
Central O(h^4),0.001,22.167168296790773,1.1759482276829658e-12
Central O(h^4),0.0001,22.16716829682941,3.745981302927248e-11
Central O(h^4),1e-05,22.167168297082537,2.9058710993012937e-10
Central O(h^4),1e-06,22.167168296949313,1.573638996887894e-10
Central O(h^4),1e-07,22.167168267639425,2.9152523950415343e-08
Central O(h^4),1e-08,22.167168101105972,1.9568597764418882e-07
Central O(h^4),1e-09,22.1671694333736,1.136581651905999e-06
Central O(h^4),1e-10,22.16717698289017,8.686098219357063e-06
Central O(h^4),1e-11,22.16720140779671,3.311100476111051e-05
Central O(h^4),1e-12,22.169821534134826,0.00265323734287648
