delta,approximation,abs_error
0.01,1.010000000000001,0.010000000000000897
0.0001,1.0000999999998899,9.999999988985486e-05
1e-06,1.0000009999177333,9.99917733279787e-07
1e-08,1.0000000039225287,3.922528746258536e-09
1e-10,1.000000082840371,8.284037100736441e-08
1e-12,1.0000889005833413,8.890058334132256e-05
1e-14,0.9992007221626509,0.0007992778373491216
1e-16,0.0,1.0
1e-18,0.0,1.0
