method,device,dtype,compute_grid,render_grid,render_tile,symmetry_used,active_compression_used,elapsed_seconds,peak_gpu_mem_gib
newton,NVIDIA GeForce RTX 3090,complex64,12000,3000,250,True,True,2.684038887000497,0.0915231704711914
secant,NVIDIA GeForce RTX 3090,complex64,12000,3000,250,False,True,8.528700800001388,0.12040042877197266
