method,device,dtype,compute_grid,render_grid,render_tile,elapsed_seconds,peak_gpu_mem_gib
newton,NVIDIA GeForce RTX 3090,complex64,12000,3000,250,11.026216469999781,0.0872344970703125
secant,NVIDIA GeForce RTX 3090,complex64,12000,3000,250,16.24709694699959,0.12257146835327148
