init,estimated_equil_sweeps,tail_E_per_spin,tail_abs_m,final_abs_m
random,41,-1.7537185185185187,0.9156148148148149,0.9288888888888889
up,35,-1.753185185185185,0.9151407407407407,0.9311111111111111
down,35,-1.7492444444444444,0.9152,0.9111111111111111
checkerboard,35,-1.742725925925926,0.9121185185185187,0.9088888888888889
half,69,-1.7484148148148146,0.914088888888889,0.9511111111111111
