N,sweeps,E_total,mean_demon_E,T,mean_system_E,mean_E_per_spin,exact_E_per_spin,mean_M,mean_M2,acceptance
100,5000,-40.0,0.7048237940514871,2.107042204074886,-40.704823794051485,-0.40704823794051487,-0.4419076745112237,-0.12546863284178955,218.53036740814795,0.5910872281929518
100,5000,-60.0,0.23794051487128218,1.388979559506252,-60.23794051487128,-0.6023794051487128,-0.6168801887969705,0.8967758060484878,355.6310922269433,0.3965058735316171
100,5000,-80.0,0.03899025243689078,0.8619875365222905,-80.03899025243689,-0.8003899025243689,-0.8210755899243498,-1.0162459385153713,709.7215696075981,0.19838790302424394
