N,sweeps,E_total,E_total_per_spin,T,mean_E_per_spin,exact_E_per_spin,mean_demon_E,mean_M2_per_N2
64,1000,-40.0,-0.625,1.3919993115536602,-0.6287425149700598,-0.615911761246404,0.23952095808383234,0.06824242140718563
64,5000,-40.0,-0.625,1.311778316018035,-0.6281093787193526,-0.6424437639344694,0.19900023803856226,0.06392590677814806
100,1000,-60.0,-0.6,1.2448861825622146,-0.6016766467065868,-0.6658699792427509,0.16766467065868262,0.03628822355289421
100,5000,-60.0,-0.6,1.4018465119904928,-0.6024470364199,-0.6127700217803951,0.24470364199000239,0.039887264936919783
200,1000,-120.0,-0.6,1.5628420538371832,-0.6016766467065868,-0.5648041701243968,0.33532934131736525,0.02013992015968064
200,5000,-120.0,-0.6,1.4752585663588431,-0.6014234706022376,-0.5901181167574995,0.2846941204475125,0.01958569388240895
