sweep,E_per_spin,abs_m
1,-1.3555555555555556,0.6622222222222223
2,-1.3644444444444443,0.6466666666666666
3,-1.3822222222222222,0.6666666666666666
4,-1.448888888888889,0.7
5,-1.44,0.6444444444444445
6,-1.4133333333333333,0.6222222222222222
7,-1.3466666666666667,0.6377777777777778
8,-1.2933333333333332,0.6022222222222222
9,-1.3288888888888888,0.5977777777777777
10,-1.3955555555555557,0.5711111111111111
11,-1.3466666666666667,0.5377777777777778
12,-1.4,0.5911111111111111
13,-1.3955555555555557,0.58
14,-1.3911111111111112,0.6
15,-1.3822222222222222,0.5911111111111111
16,-1.3866666666666667,0.58
17,-1.3288888888888888,0.5955555555555555
18,-1.271111111111111,0.5555555555555556
19,-1.3822222222222222,0.5755555555555556
20,-1.5066666666666666,0.6311111111111111
21,-1.431111111111111,0.62
22,-1.4266666666666667,0.5866666666666667
23,-1.4222222222222223,0.6066666666666667
24,-1.4755555555555555,0.5844444444444444
25,-1.56,0.5888888888888889
26,-1.44,0.6066666666666667
27,-1.448888888888889,0.5733333333333334
28,-1.4222222222222223,0.5888888888888889
29,-1.3288888888888888,0.5711111111111111
30,-1.2533333333333334,0.5644444444444444
31,-1.3511111111111112,0.5933333333333334
32,-1.3688888888888888,0.5955555555555555
33,-1.4044444444444444,0.6088888888888889
34,-1.4755555555555555,0.62
35,-1.4844444444444445,0.6355555555555555
36,-1.3022222222222222,0.5822222222222222
37,-1.3022222222222222,0.6044444444444445
38,-1.2444444444444445,0.6222222222222222
39,-1.2622222222222221,0.6044444444444445
40,-1.2622222222222221,0.6533333333333333
41,-1.4044444444444444,0.66
42,-1.3777777777777778,0.6822222222222222
43,-1.3644444444444443,0.6488888888888888
44,-1.3333333333333333,0.6511111111111111
45,-1.3511111111111112,0.6488888888888888
46,-1.3511111111111112,0.6511111111111111
47,-1.36,0.6888888888888889
48,-1.3644444444444443,0.6577777777777778
49,-1.4266666666666667,0.6911111111111111
50,-1.4933333333333334,0.6755555555555556
51,-1.3511111111111112,0.6444444444444445
52,-1.3911111111111112,0.6866666666666666
53,-1.4533333333333334,0.74
54,-1.4622222222222223,0.7422222222222222
55,-1.4533333333333334,0.7177777777777777
56,-1.448888888888889,0.6955555555555556
57,-1.4,0.66
58,-1.3911111111111112,0.6555555555555556
59,-1.4577777777777778,0.6866666666666666
60,-1.4088888888888889,0.6711111111111111
61,-1.4755555555555555,0.68
62,-1.4177777777777778,0.6844444444444444
63,-1.4,0.6733333333333333
64,-1.4,0.6777777777777778
65,-1.4222222222222223,0.7111111111111111
66,-1.3688888888888888,0.6666666666666666
67,-1.471111111111111,0.7155555555555555
68,-1.4933333333333334,0.7266666666666667
69,-1.4444444444444444,0.7044444444444444
70,-1.431111111111111,0.7088888888888889
71,-1.4177777777777778,0.7644444444444445
72,-1.3866666666666667,0.7288888888888889
73,-1.3688888888888888,0.6911111111111111
74,-1.3244444444444445,0.6822222222222222
75,-1.3511111111111112,0.6733333333333333
76,-1.3777777777777778,0.6866666666666666
77,-1.1955555555555555,0.5911111111111111
78,-1.2577777777777779,0.5733333333333334
79,-1.288888888888889,0.6022222222222222
80,-1.3511111111111112,0.6022222222222222
81,-1.36,0.62
82,-1.4,0.6511111111111111
83,-1.4044444444444444,0.6644444444444444
84,-1.3688888888888888,0.6466666666666666
85,-1.3333333333333333,0.6222222222222222
86,-1.3777777777777778,0.6577777777777778
87,-1.2844444444444445,0.6044444444444445
88,-1.3022222222222222,0.6044444444444445
89,-1.3911111111111112,0.6822222222222222
90,-1.4622222222222223,0.6911111111111111
91,-1.4355555555555555,0.66
92,-1.431111111111111,0.6644444444444444
93,-1.3911111111111112,0.6622222222222223
94,-1.4044444444444444,0.7155555555555555
95,-1.5066666666666666,0.7688888888888888
96,-1.4844444444444445,0.76
97,-1.5155555555555555,0.78
98,-1.6088888888888888,0.7911111111111111
99,-1.5822222222222222,0.7888888888888889
100,-1.551111111111111,0.7711111111111111
