case,T,estimated_equil_sweeps,final_E_per_spin,final_abs_m,tail_E_per_spin,tail_abs_m
L30_T2,2.0,38,-1.751111111111111,0.9266666666666666,-1.7337037037037035,0.9077777777777778
L30_T4,4.0,35,-0.5911111111111111,0.017777777777777778,-0.5566666666666668,0.05196296296296296
