sweep,system_E,demon_E,magnetization,M2,acceptance
2145,-20.0,0.0,-2,4,0.81
2146,-28.0,8.0,-22,484,0.76
2147,-24.0,4.0,4,16,0.79
2148,-20.0,0.0,-4,16,0.86
2149,-24.0,4.0,4,16,0.78
2150,-20.0,0.0,12,144,0.82
2151,-32.0,12.0,2,4,0.69
2152,-20.0,0.0,2,4,0.74
2153,-20.0,0.0,-14,196,0.7
2154,-32.0,12.0,-4,16,0.73
2155,-20.0,0.0,-4,16,0.86
2156,-20.0,0.0,8,64,0.7
2157,-20.0,0.0,-2,4,0.77
2158,-20.0,0.0,8,64,0.87
2159,-28.0,8.0,0,0,0.84
2160,-20.0,0.0,-10,100,0.89
2161,-20.0,0.0,-4,16,0.75
2162,-20.0,0.0,8,64,0.86
2163,-24.0,4.0,-6,36,0.79
2164,-20.0,0.0,-22,484,0.72
2165,-20.0,0.0,-4,16,0.85
2166,-24.0,4.0,0,0,0.76
2167,-28.0,8.0,30,900,0.81
2168,-32.0,12.0,10,100,0.84
2169,-20.0,0.0,-10,100,0.78
2170,-20.0,0.0,-16,256,0.85
2171,-20.0,0.0,-32,1024,0.66
2172,-20.0,0.0,-18,324,0.67
2173,-20.0,0.0,-8,64,0.81
2174,-20.0,0.0,-8,64,0.82
2175,-24.0,4.0,-4,16,0.9
2176,-28.0,8.0,24,576,0.72
2177,-24.0,4.0,20,400,0.82
2178,-20.0,0.0,12,144,0.7
2179,-20.0,0.0,6,36,0.75
2180,-20.0,0.0,-4,16,0.81
2181,-24.0,4.0,-14,196,0.81
2182,-20.0,0.0,-32,1024,0.73
2183,-32.0,12.0,-24,576,0.78
2184,-20.0,0.0,0,0,0.84
2185,-20.0,0.0,18,324,0.77
2186,-20.0,0.0,6,36,0.8
2187,-20.0,0.0,0,0,0.87
2188,-20.0,0.0,-4,16,0.78
2189,-20.0,0.0,-8,64,0.84
2190,-28.0,8.0,-18,324,0.71
2191,-28.0,8.0,-6,36,0.72
2192,-20.0,0.0,0,0,0.73
2193,-28.0,8.0,-2,4,0.75
2194,-20.0,0.0,0,0,0.83
2195,-20.0,0.0,6,36,0.81
2196,-28.0,8.0,-8,64,0.73
2197,-20.0,0.0,2,4,0.75
2198,-24.0,4.0,12,144,0.85
2199,-20.0,0.0,8,64,0.8
2200,-20.0,0.0,-2,4,0.73
2201,-28.0,8.0,8,64,0.75
2202,-20.0,0.0,8,64,0.76
2203,-24.0,4.0,12,144,0.82
2204,-20.0,0.0,2,4,0.71
2205,-20.0,0.0,2,4,0.78
2206,-24.0,4.0,-8,64,0.73
2207,-20.0,0.0,-4,16,0.84
2208,-24.0,4.0,0,0,0.72
2209,-24.0,4.0,-2,4,0.79
2210,-24.0,4.0,-22,484,0.8
2211,-20.0,0.0,-16,256,0.75
2212,-28.0,8.0,-12,144,0.88
2213,-24.0,4.0,12,144,0.76
2214,-20.0,0.0,12,144,0.76
2215,-20.0,0.0,-6,36,0.75
2216,-20.0,0.0,-12,144,0.81
2217,-20.0,0.0,10,100,0.79
2218,-20.0,0.0,-12,144,0.69
2219,-24.0,4.0,6,36,0.81
2220,-20.0,0.0,26,676,0.76
2221,-20.0,0.0,8,64,0.75
2222,-20.0,0.0,8,64,0.72
2223,-20.0,0.0,-14,196,0.71
2224,-24.0,4.0,-4,16,0.77
2225,-20.0,0.0,10,100,0.81
2226,-24.0,4.0,4,16,0.73
2227,-20.0,0.0,-18,324,0.67
2228,-20.0,0.0,-22,484,0.7
2229,-24.0,4.0,-10,100,0.8
2230,-20.0,0.0,-18,324,0.78
2231,-20.0,0.0,-2,4,0.76
2232,-20.0,0.0,10,100,0.78
2233,-20.0,0.0,-2,4,0.82
2234,-20.0,0.0,-10,100,0.76
2235,-20.0,0.0,-20,400,0.73
2236,-20.0,0.0,-20,400,0.8
2237,-20.0,0.0,10,100,0.69
2238,-20.0,0.0,2,4,0.78
2239,-20.0,0.0,10,100,0.7
2240,-24.0,4.0,-2,4,0.8
2241,-20.0,0.0,0,0,0.83
2242,-20.0,0.0,12,144,0.8
2243,-28.0,8.0,6,36,0.87
2244,-24.0,4.0,-16,256,0.75
2245,-20.0,0.0,-18,324,0.67
2246,-20.0,0.0,-8,64,0.79
2247,-20.0,0.0,-14,196,0.77
2248,-20.0,0.0,6,36,0.76
2249,-20.0,0.0,20,400,0.85
2250,-20.0,0.0,24,576,0.68
2251,-20.0,0.0,-6,36,0.75
2252,-28.0,8.0,10,100,0.84
2253,-20.0,0.0,4,16,0.89
2254,-28.0,8.0,2,4,0.75
2255,-24.0,4.0,18,324,0.88
2256,-24.0,4.0,6,36,0.8
2257,-20.0,0.0,-14,196,0.74
2258,-28.0,8.0,-2,4,0.84
2259,-24.0,4.0,6,36,0.8
2260,-20.0,0.0,-2,4,0.84
2261,-20.0,0.0,-22,484,0.88
2262,-20.0,0.0,-18,324,0.68
2263,-20.0,0.0,4,16,0.85
2264,-20.0,0.0,18,324,0.73
2265,-24.0,4.0,-4,16,0.79
2266,-20.0,0.0,6,36,0.79
2267,-20.0,0.0,4,16,0.85
2268,-20.0,0.0,-12,144,0.84
2269,-28.0,8.0,-16,256,0.76
2270,-24.0,4.0,-26,676,0.87
2271,-20.0,0.0,-18,324,0.8
2272,-20.0,0.0,-2,4,0.74
2273,-20.0,0.0,4,16,0.83
2274,-24.0,4.0,14,196,0.91
2275,-20.0,0.0,4,16,0.81
2276,-20.0,0.0,4,16,0.76
2277,-24.0,4.0,8,64,0.66
2278,-20.0,0.0,14,196,0.81
2279,-20.0,0.0,-2,4,0.78
2280,-24.0,4.0,-14,196,0.72
2281,-28.0,8.0,0,0,0.71
2282,-20.0,0.0,-12,144,0.72
2283,-24.0,4.0,2,4,0.85
2284,-20.0,0.0,-20,400,0.73
2285,-20.0,0.0,16,256,0.68
2286,-20.0,0.0,-8,64,0.68
2287,-20.0,0.0,-4,16,0.88
2288,-20.0,0.0,10,100,0.71
2289,-20.0,0.0,-8,64,0.83
2290,-28.0,8.0,-2,4,0.79
2291,-20.0,0.0,2,4,0.82
2292,-20.0,0.0,14,196,0.82
2293,-24.0,4.0,8,64,0.71
2294,-20.0,0.0,-10,100,0.83
2295,-20.0,0.0,-6,36,0.82
2296,-20.0,0.0,18,324,0.84
2297,-20.0,0.0,14,196,0.86
2298,-20.0,0.0,38,1444,0.78
2299,-20.0,0.0,28,784,0.73
2300,-20.0,0.0,12,144,0.8
2301,-20.0,0.0,10,100,0.73
2302,-20.0,0.0,-14,196,0.74
2303,-20.0,0.0,12,144,0.69
2304,-28.0,8.0,4,16,0.62
2305,-20.0,0.0,-4,16,0.86
2306,-24.0,4.0,-18,324,0.65
2307,-24.0,4.0,6,36,0.82
2308,-20.0,0.0,26,676,0.78
2309,-28.0,8.0,14,196,0.8
2310,-24.0,4.0,6,36,0.72
2311,-20.0,0.0,16,256,0.69
2312,-20.0,0.0,0,0,0.74
2313,-24.0,4.0,-6,36,0.85
2314,-20.0,0.0,-10,100,0.78
2315,-20.0,0.0,-4,16,0.67
2316,-20.0,0.0,-26,676,0.91
2317,-20.0,0.0,0,0,0.85
2318,-20.0,0.0,2,4,0.71
2319,-20.0,0.0,-10,100,0.72
2320,-20.0,0.0,-8,64,0.77
2321,-20.0,0.0,-8,64,0.86
2322,-20.0,0.0,-22,484,0.89
2323,-20.0,0.0,-18,324,0.76
2324,-20.0,0.0,-8,64,0.75
2325,-20.0,0.0,-4,16,0.78
2326,-20.0,0.0,-8,64,0.78
2327,-20.0,0.0,-2,4,0.73
2328,-20.0,0.0,10,100,0.82
2329,-24.0,4.0,10,100,0.64
2330,-20.0,0.0,0,0,0.71
2331,-20.0,0.0,-4,16,0.8
2332,-24.0,4.0,-6,36,0.79
2333,-20.0,0.0,-10,100,0.7
2334,-20.0,0.0,4,16,0.81
2335,-20.0,0.0,-6,36,0.71
2336,-24.0,4.0,16,256,0.87
2337,-20.0,0.0,10,100,0.73
2338,-32.0,12.0,2,4,0.78
2339,-24.0,4.0,0,0,0.79
2340,-20.0,0.0,10,100,0.83
2341,-20.0,0.0,8,64,0.83
2342,-20.0,0.0,0,0,0.72
2343,-24.0,4.0,22,484,0.69
2344,-20.0,0.0,18,324,0.68
2345,-20.0,0.0,8,64,0.73
2346,-28.0,8.0,-14,196,0.65
2347,-20.0,0.0,-14,196,0.82
2348,-20.0,0.0,6,36,0.72
2349,-20.0,0.0,-8,64,0.75
2350,-24.0,4.0,8,64,0.84
2351,-20.0,0.0,-6,36,0.81
2352,-20.0,0.0,0,0,0.81
2353,-20.0,0.0,-6,36,0.73
2354,-20.0,0.0,-6,36,0.72
2355,-32.0,12.0,12,144,0.73
2356,-20.0,0.0,-2,4,0.77
2357,-28.0,8.0,-6,36,0.76
2358,-28.0,8.0,2,4,0.72
2359,-24.0,4.0,-4,16,0.81
2360,-20.0,0.0,-6,36,0.75
2361,-20.0,0.0,8,64,0.73
2362,-24.0,4.0,10,100,0.83
2363,-20.0,0.0,26,676,0.78
2364,-20.0,0.0,-8,64,0.81
2365,-20.0,0.0,6,36,0.79
2366,-20.0,0.0,-4,16,0.83
2367,-24.0,4.0,-8,64,0.74
2368,-20.0,0.0,-20,400,0.84
2369,-20.0,0.0,-2,4,0.77
2370,-24.0,4.0,4,16,0.81
2371,-20.0,0.0,6,36,0.75
2372,-32.0,12.0,8,64,0.77
2373,-20.0,0.0,-6,36,0.87
2374,-20.0,0.0,2,4,0.76
2375,-20.0,0.0,-12,144,0.81
2376,-24.0,4.0,-10,100,0.77
2377,-20.0,0.0,2,4,0.76
2378,-20.0,0.0,12,144,0.79
2379,-20.0,0.0,20,400,0.68
2380,-24.0,4.0,12,144,0.82
2381,-20.0,0.0,8,64,0.76
2382,-20.0,0.0,4,16,0.76
2383,-20.0,0.0,-10,100,0.75
2384,-28.0,8.0,2,4,0.86
2385,-24.0,4.0,14,196,0.72
2386,-24.0,4.0,-4,16,0.83
2387,-20.0,0.0,-12,144,0.74
2388,-20.0,0.0,-4,16,0.72
2389,-20.0,0.0,-16,256,0.68
2390,-20.0,0.0,18,324,0.85
2391,-20.0,0.0,8,64,0.79
2392,-20.0,0.0,-20,400,0.78
2393,-24.0,4.0,-22,484,0.73
2394,-20.0,0.0,2,4,0.8
2395,-20.0,0.0,-12,144,0.77
2396,-24.0,4.0,-12,144,0.74
2397,-24.0,4.0,4,16,0.86
2398,-20.0,0.0,0,0,0.74
2399,-20.0,0.0,-10,100,0.75
