order,sweep,E_per_spin,m,abs_m
random,0,-0.04,0.06666666666666667,0.06666666666666667
random,1,-0.6355555555555555,0.035555555555555556,0.035555555555555556
random,2,-0.7911111111111111,0.05555555555555555,0.05555555555555555
random,3,-0.92,0.042222222222222223,0.042222222222222223
random,4,-1.0444444444444445,0.04666666666666667,0.04666666666666667
random,5,-1.1066666666666667,0.011111111111111112,0.011111111111111112
random,6,-1.1866666666666668,-0.04888888888888889,0.04888888888888889
random,7,-1.2355555555555555,-0.03333333333333333,0.03333333333333333
random,8,-1.2444444444444445,-0.044444444444444446,0.044444444444444446
random,9,-1.1866666666666668,-0.03777777777777778,0.03777777777777778
random,10,-1.2,-0.0044444444444444444,0.0044444444444444444
random,11,-1.12,-0.03333333333333333,0.03333333333333333
random,12,-1.1866666666666668,-0.06666666666666667,0.06666666666666667
random,13,-1.2577777777777779,-0.044444444444444446,0.044444444444444446
random,14,-1.24,-0.05333333333333334,0.05333333333333334
random,15,-1.231111111111111,-0.03333333333333333,0.03333333333333333
random,16,-1.2444444444444445,-0.13555555555555557,0.13555555555555557
random,17,-1.24,-0.10888888888888888,0.10888888888888888
random,18,-1.2044444444444444,-0.10888888888888888,0.10888888888888888
random,19,-1.2533333333333334,-0.12666666666666668,0.12666666666666668
random,20,-1.2533333333333334,-0.08444444444444445,0.08444444444444445
random,21,-1.2355555555555555,-0.08888888888888889,0.08888888888888889
random,22,-1.231111111111111,-0.08666666666666667,0.08666666666666667
random,23,-1.271111111111111,-0.08666666666666667,0.08666666666666667
random,24,-1.191111111111111,-0.05555555555555555,0.05555555555555555
random,25,-1.1333333333333333,-0.03333333333333333,0.03333333333333333
random,26,-1.2222222222222223,0.013333333333333334,0.013333333333333334
random,27,-1.1688888888888889,0.07333333333333333,0.07333333333333333
random,28,-1.1422222222222222,0.042222222222222223,0.042222222222222223
random,29,-1.1288888888888888,0.06,0.06
random,30,-1.2,0.08,0.08
random,31,-1.231111111111111,0.08,0.08
random,32,-1.3066666666666666,0.07111111111111111,0.07111111111111111
random,33,-1.24,0.10222222222222223,0.10222222222222223
random,34,-1.1422222222222222,0.08,0.08
random,35,-1.0844444444444445,0.07111111111111111,0.07111111111111111
random,36,-1.1555555555555554,0.10888888888888888,0.10888888888888888
random,37,-1.1333333333333333,0.1688888888888889,0.1688888888888889
random,38,-1.1377777777777778,0.2,0.2
random,39,-1.1777777777777778,0.27111111111111114,0.27111111111111114
random,40,-1.208888888888889,0.27111111111111114,0.27111111111111114
random,41,-1.16,0.23777777777777778,0.23777777777777778
random,42,-1.2755555555555556,0.23333333333333334,0.23333333333333334
