time_sweeps,E_per_spin,abs_m
0.05,-1.3466666666666667,0.6911111111111111
0.1,-1.3422222222222222,0.6888888888888889
0.15,-1.3511111111111112,0.6866666666666666
0.2,-1.3511111111111112,0.6844444444444444
0.25,-1.3688888888888888,0.6844444444444444
0.3,-1.3377777777777777,0.6711111111111111
0.35,-1.3422222222222222,0.6688888888888889
0.4,-1.3422222222222222,0.6755555555555556
0.45,-1.3822222222222222,0.6888888888888889
0.5,-1.3822222222222222,0.6822222222222222
0.55,-1.3911111111111112,0.6911111111111111
0.6,-1.3688888888888888,0.6911111111111111
0.65,-1.3688888888888888,0.6822222222222222
0.7,-1.36,0.6777777777777778
0.75,-1.3511111111111112,0.6688888888888889
0.8,-1.3644444444444443,0.6666666666666666
0.85,-1.36,0.66
0.9,-1.3733333333333333,0.6577777777777778
0.95,-1.3688888888888888,0.66
1.0,-1.3555555555555556,0.6622222222222223
1.05,-1.36,0.6622222222222223
1.1,-1.3822222222222222,0.6755555555555556
1.15,-1.3822222222222222,0.6644444444444444
1.2,-1.3866666666666667,0.6666666666666666
1.25,-1.4177777777777778,0.6777777777777778
1.3,-1.4088888888888889,0.6733333333333333
1.35,-1.4177777777777778,0.6733333333333333
1.4,-1.4133333333333333,0.6711111111111111
1.45,-1.3866666666666667,0.6577777777777778
1.5,-1.3822222222222222,0.6555555555555556
1.55,-1.4088888888888889,0.6622222222222223
1.6,-1.4088888888888889,0.6711111111111111
1.65,-1.4355555555555555,0.6822222222222222
1.7,-1.4222222222222223,0.6666666666666666
1.75,-1.4177777777777778,0.6688888888888889
1.8,-1.4133333333333333,0.6622222222222223
1.85,-1.3733333333333333,0.6511111111111111
1.9,-1.3733333333333333,0.6488888888888888
1.95,-1.3688888888888888,0.6466666666666666
2.0,-1.3644444444444443,0.6466666666666666
2.05,-1.3644444444444443,0.6533333333333333
2.1,-1.3511111111111112,0.6466666666666666
2.15,-1.3466666666666667,0.6488888888888888
2.2,-1.3511111111111112,0.6466666666666666
2.25,-1.3377777777777777,0.6466666666666666
2.3,-1.3555555555555556,0.6533333333333333
2.35,-1.36,0.6577777777777778
2.4,-1.3466666666666667,0.6488888888888888
2.45,-1.36,0.6466666666666666
2.5,-1.3644444444444443,0.6466666666666666
2.55,-1.3777777777777778,0.66
2.6,-1.3866666666666667,0.6666666666666666
2.65,-1.3911111111111112,0.6577777777777778
2.7,-1.4088888888888889,0.6644444444444444
2.75,-1.3911111111111112,0.6622222222222223
2.8,-1.3911111111111112,0.6622222222222223
2.85,-1.3777777777777778,0.6622222222222223
2.9,-1.3688888888888888,0.6666666666666666
2.95,-1.3911111111111112,0.6688888888888889
3.0,-1.3822222222222222,0.6666666666666666
3.05,-1.3733333333333333,0.6666666666666666
3.1,-1.3733333333333333,0.66
3.15,-1.3777777777777778,0.6644444444444444
3.2,-1.3866666666666667,0.6688888888888889
3.25,-1.3777777777777778,0.6688888888888889
3.3,-1.3644444444444443,0.6688888888888889
3.35,-1.3777777777777778,0.6755555555555556
3.4,-1.3866666666666667,0.6777777777777778
3.45,-1.3822222222222222,0.6755555555555556
3.5,-1.3822222222222222,0.6711111111111111
3.55,-1.3866666666666667,0.6733333333333333
3.6,-1.4222222222222223,0.6822222222222222
3.65,-1.4355555555555555,0.6888888888888889
3.7,-1.4177777777777778,0.6733333333333333
3.75,-1.4266666666666667,0.6822222222222222
3.8,-1.4355555555555555,0.6844444444444444
3.85,-1.4266666666666667,0.6844444444444444
3.9,-1.431111111111111,0.6844444444444444
3.95,-1.44,0.6866666666666666
4.0,-1.448888888888889,0.7
4.05,-1.4577777777777778,0.6866666666666666
4.1,-1.448888888888889,0.6866666666666666
4.15,-1.4266666666666667,0.6777777777777778
4.2,-1.4133333333333333,0.68
4.25,-1.431111111111111,0.6844444444444444
4.3,-1.448888888888889,0.6933333333333334
4.35,-1.4533333333333334,0.6822222222222222
4.4,-1.48,0.7
4.45,-1.4622222222222223,0.6888888888888889
4.5,-1.4533333333333334,0.6733333333333333
4.55,-1.4444444444444444,0.6622222222222223
4.6,-1.4355555555555555,0.6622222222222223
4.65,-1.4577777777777778,0.6688888888888889
4.7,-1.4666666666666666,0.6688888888888889
4.75,-1.471111111111111,0.6688888888888889
4.8,-1.4533333333333334,0.66
4.85,-1.448888888888889,0.6533333333333333
4.9,-1.4444444444444444,0.6466666666666666
4.95,-1.4355555555555555,0.6488888888888888
5.0,-1.44,0.6444444444444445
5.05,-1.44,0.6466666666666666
5.1,-1.4355555555555555,0.6466666666666666
5.15,-1.4355555555555555,0.6444444444444445
5.2,-1.4444444444444444,0.64
5.25,-1.431111111111111,0.6422222222222222
5.3,-1.431111111111111,0.6511111111111111
5.35,-1.4266666666666667,0.6422222222222222
5.4,-1.4177777777777778,0.64
5.45,-1.3955555555555557,0.6333333333333333
5.5,-1.4266666666666667,0.6444444444444445
5.55,-1.4622222222222223,0.6422222222222222
