method,repeat,mean_estimate,repeat_std,repeat_variance,predicted_std,exact,mean_abs_error,total_samples,min_ni,max_ni
simple_uniform_mc,140,1.38460709398,0.0178693147335,0.000319312409045,,1.38629436112,0.00168726714436,50000,50000,50000
stratified_fixed_ni_10,140,1.38695461973,0.0133110541515,0.000177184162625,,1.38629436112,0.000660258607475,50000,10,10
stratified_regularized_neyman,140,1.38629109961,7.06349857312e-05,4.98930120924e-09,7.38709095258e-05,1.38629436112,3.26150836183e-06,50000,1,14758
