N,repeat,mean_estimate,empirical_std,theory_std,exact,mean_abs_error
1000,100000,1.71826443347,0.015530605202,0.0155574936109,1.71828182846,1.73949884692e-05
10000,10000,1.71831526204,0.00496561771372,0.00491971144939,1.71828182846,3.34335779757e-05
100000,10000,1.71825228869,0.00154178588078,0.00155574936109,1.71828182846,2.95397688466e-05
1000000,1000,1.71826742161,0.000496354055054,0.000491971144939,1.71828182846,1.44068535826e-05
10000000,200,1.71829042821,0.000153737844714,0.000155574936109,1.71828182846,8.5997531456e-06
1000000,1,1.71831573223,,0.000491971144939,1.71828182846,3.39037716857e-05
