dimension,radius,exact_volume,cube_mc_N,cube_expected_hits,cube_hits,cube_estimate,cube_standard_error,cube_relative_se_theory,cube_relative_error,radial_mc_N,radial_estimate,radial_standard_error,radial_relative_standard_error,radial_relative_error
2,1,3.14159265359,200000,157079.632679,157611,3.15222,0.00365539947995,0.00116884461058,0.00338278942627,300000,3.14521320948,0.00330927876194,0.00105337614606,0.00115245873473
3,1,4.18879020479,200000,104719.75512,104446,4.17784,0.00893542750359,0.0021329080115,0.00261416882943,300000,4.20280986062,0.00685153272375,0.00163568295111,0.00334694628883
5,1,5.26378901391,300000,49348.0220054,49461,5.27584,0.0216788985186,0.00411471789982,0.00228941282673,300000,5.29087543344,0.0128475678171,0.00244074520903,0.00514580266341
10,1,2.55016403988,500000,1245.1972851,1260,2.58048,0.0726051326418,0.0283034554943,0.0118878470752,300000,2.56756159661,0.00966038719061,0.00378814344471,0.00682213240523
15,1,0.381443280823,700000,8.14850758595,11,0.514925714286,0.155254724599,0.35031475925,0.349940450319,300000,0.382433061789,0.00181266989386,0.00475213481268,0.00259483130377
20,1,0.02580689139,1000000,0.0246113695049,0,0.0,0.0,6.37429420263,1.0,300000,0.0256424202394,0.00014265978105,0.00552797231151,0.00637314848073
25,1,0.000957722408823,1000000,2.85423519857e-05,0,0.0,0.0,187.178137351,1.0,300000,0.000960708676158,6.01101357641e-06,0.00627636308918,0.0031180927869
30,1,2.19153534478e-05,1000000,2.04102633966e-08,0,0.0,0.0,6999.63985527,1.0,300000,2.18544351185e-05,1.50805591577e-07,0.00688127581132,0.00277971010184
