case,reference_prefix,triton_prefix,reference_elapsed_seconds,triton_elapsed_seconds,speedup,triton_render_tile,triton_peak_gpu_mem_gib,png_identical,convergence_fraction_delta,mean_iterations_delta,root0_fraction_delta,root1_fraction_delta,root2_fraction_delta
12k_smoke,problem1_gpu_newton_pytorch_smoke_direct,problem1_gpu_newton_triton_smoke,2.217334244000085,8.728992283002299,0.2540194987132516,250,0.03692483901977539,True,-4.166666667249075e-08,-0.0004346189829709246,-1.8055555556228953e-07,6.944444447265496e-08,6.944444447265496e-08
40k_main,problem1_gpu_newton_direct_40k,problem1_gpu_newton_triton_40k_rt1000,12.547995036999055,2.156718631998956,5.8180955321784085,1000,2.2753829956054688,True,-9.625000008117723e-08,-0.00043998426104874255,-2.987499999607124e-07,1.0125000005078988e-07,1.0125000005078988e-07
100k_fastest,problem1_gpu_100k_newton_direct,problem1_gpu_newton_triton_100k_rt1000,83.17347618700296,3.998302842999692,20.802195194549792,1000,14.16725492477417,True,-8.439999998888226e-08,-0.000438894209049856,4.3000000005122274e-08,-6.369999999700227e-08,-6.369999999700227e-08
100k_low_vram,problem1_gpu_100k_newton_direct,problem1_gpu_newton_triton_100k_rt625,83.17347618700296,3.993601148999005,20.82668576150885,625,5.536599159240723,True,-8.439999998888226e-08,-0.000438894209049856,4.3000000005122274e-08,-6.369999999700227e-08,-6.369999999700227e-08
