method,device,dtype,compute_grid,render_grid,render_tile,symmetry_used,active_compression_used,elapsed_seconds,peak_gpu_mem_gib
newton,NVIDIA GeForce RTX 3090,complex64,12000,3000,250,True,False,2.5858246329989925,0.0872344970703125
secant,NVIDIA GeForce RTX 3090,complex64,12000,3000,250,False,False,7.792544429001282,0.121124267578125
