method,tol,max_iter,grid_size,render_grid,render_tile,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction
newton,5e-07,55,12000,3000,250,0.9999996111111111,6.814556302883006,0.3418821805555556,0.3290587152777778,0.3290587152777778
secant,5e-07,65,12000,3000,250,0.9452375347222223,9.114857093717735,0.3598377291666667,0.3155059513888889,0.26989385416666667
