midpoint_voltage,global_degree_6,piecewise_linear,shape_preserving_cubic
-0.5,-13.161141183053122,-7.29,-4.664636563876652
0.635,5.656648667514072,0.0,0.0
1.91,-4.070358590925812,0.0,0.0
3.1849999999999996,5.421118124203332,0.0,0.0
4.37,-11.866745103576003,0.44000000000000017,0.1395177346803334
4.97,5.566334299464815,6.0249999999999995,4.659712402907847
