node_count,polynomial_degree,max_abs_error,rmse,neville_vs_barycentric_max_diff,neville_vs_barycentric_rmse,neville_seconds,barycentric_seconds
7,6,0.8048996524098561,0.2465718168057619,5.551115123125783e-16,1.1181982100409583e-16,0.0014915039973857347,0.0005676959990523756
9,8,0.3983078513598824,0.10140346748364225,1.1102230246251565e-15,1.5019895812270727e-16,0.0018954520019178744,0.00045702499846811406
17,16,0.00016216344232833357,3.026736722857379e-05,6.539213615042172e-14,5.049540731326898e-15,0.005591810000623809,0.0008096140009001829
19,18,1.0881958167785477e-05,1.9273552037748753e-06,3.480549182199866e-13,3.2915058791957557e-14,0.007199358999059768,0.0007858399985707365
21,20,5.868754717752722e-07,9.914062705195827e-08,9.168221737354543e-13,1.141529879629614e-13,0.007577537002362078,0.0007553329996881075
