method,tol,max_iter,grid_size,render_grid,render_tile,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction
newton,5e-07,55,80000,5000,500,0.9999996815625,6.815782520713246,0.3418774909375,0.3290610953125,0.3290610953125
secant,5e-07,65,80000,5000,500,0.9452362115625,9.116767834616228,0.35984365515625,0.31550067359375,0.2698918828125
