profile_mode,grid_size,render_grid,workers,warmup_runs,timed_repeats,sample_count,timing_scope,elapsed_seconds,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_median,elapsed_seconds_iqr,elapsed_seconds_best,throughput_mpoints_per_s,throughput_mpoints_per_s_mean,throughput_mpoints_per_s_std,throughput_mpoints_per_s_median,throughput_mpoints_per_s_iqr,throughput_mpoints_per_s_best,avg_cpu_percent,peak_cpu_percent,peak_rss_gib,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction
worker_sweep,64.0,32.0,1.0,1,3,3,smoke_warm_then_timed_full_compute,0.547366744666609,0.547366744666609,0.0015588680034113068,0.5478961979997621,0.0014899089999289572,0.5456121090001034,0.007483140355742035,0.007483140355742035,2.133896277228907e-05,0.007475868631601233,2.0388547108909916e-05,0.007507164764921344,3.6666666666666665,3.6666666666666665,0.06976826985677083,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875
worker_sweep,64.0,32.0,2.0,1,3,3,smoke_warm_then_timed_full_compute,0.5494915623332114,0.5494915623332114,0.0010671886420009747,0.5489141369998833,0.0009427759998743568,0.5488374990000011,0.007454182318960288,0.007454182318960288,1.4460932809824972e-05,0.00746200493648585,1.2775897973013248e-05,0.0074630469081705215,2.4,2.4,0.07021840413411458,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875
grid_sweep,64.0,16.0,2.0,1,3,3,smoke_warm_then_timed_full_compute,0.5520119650000197,0.5520119650000197,0.004674648975843335,0.5541691990001709,0.004285101999812468,0.5466482460001316,0.007420485429733561,0.007420485429733561,6.313102146547148e-05,0.007391244420278105,5.782947687635841e-05,0.007492935411337647,2.8000000000000003,2.8000000000000003,0.07022730509440105,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875
grid_sweep,128.0,32.0,2.0,1,3,3,smoke_warm_then_timed_full_compute,0.5519812756667003,0.5519812756667003,0.0034106296299984276,0.5508583880000515,0.003269057500119743,0.549273661999905,0.0296829197223044,0.0296829197223044,0.00018291121646770282,0.029742671359664342,0.00017543893377554298,0.029828482837399972,2.6666666666666665,2.6666666666666665,0.07023366292317708,1.0,6.8258056640625,0.3411865234375,0.32940673828125,0.32940673828125
