global_grid,backend,dx_to_float32_ulp_ratio,elapsed_seconds,root_diff_vs_fp64,root_diff_percent_vs_fp64,iter_diff_percent_vs_fp64,unique_x_percent,unique_y_percent
33554432,fp32_triton,0.900000026822091,0.003994535996753257,5217,1.9901275634765625,9.291839599609375,100.0,90.0390625
33554432,doublefloat_triton_base,0.900000026822091,0.006143177000922151,5198,1.982879638671875,9.236907958984375,100.0,100.0
33554432,doublefloat_triton_t8,0.900000026822091,0.08525913899939042,0,0.0,0.0,100.0,100.0
33554432,fp64_pytorch,0.900000026822091,0.08352029199886601,0,0.0,0.0,100.0,100.0
16777216,fp32_triton,1.8000001072883671,0.003370770995388739,3824,1.458740234375,6.983184814453125,100.0,100.0
16777216,doublefloat_triton_base,1.8000001072883671,0.005795386001409497,3788,1.44500732421875,6.899261474609375,100.0,100.0
16777216,doublefloat_triton_t8,1.8000001072883671,0.08507008900051005,0,0.0,0.0,100.0,100.0
16777216,fp64_pytorch,1.8000001072883671,0.08341499899688642,0,0.0,0.0,100.0,100.0
4194304,fp32_triton,7.200001716614179,0.004506016004597768,2099,0.8007049560546875,3.99627685546875,100.0,100.0
4194304,doublefloat_triton_base,7.200001716614179,0.006281697998929303,2047,0.7808685302734375,3.9958953857421875,100.0,100.0
4194304,doublefloat_triton_t8,7.200001716614179,0.08536522700160276,0,0.0,0.0,100.0,100.0
4194304,fp64_pytorch,7.200001716614179,0.08378239999728976,0,0.0,0.0,100.0,100.0
1048576,fp32_triton,28.800027465846508,0.0037268449959810823,926,0.353240966796875,2.082061767578125,100.0,100.0
1048576,doublefloat_triton_base,28.800027465846508,0.006004996001138352,934,0.356292724609375,2.1335601806640625,100.0,100.0
1048576,doublefloat_triton_t8,28.800027465846508,0.08548352999787312,0,0.0,0.0,100.0,100.0
1048576,fp64_pytorch,28.800027465846508,0.0839706330007175,0,0.0,0.0,100.0,100.0
262144,fp32_triton,115.20043945480138,0.005093230000056792,347,0.1323699951171875,1.1505126953125,100.0,100.0
262144,doublefloat_triton_base,115.20043945480138,0.0066478360022301786,379,0.1445770263671875,1.1749267578125,100.0,100.0
262144,doublefloat_triton_t8,115.20043945480138,0.09162628999911249,0,0.0,0.0,100.0,100.0
262144,fp64_pytorch,115.20043945480138,0.0839592789998278,0,0.0,0.0,100.0,100.0
8192,fp32_triton,3686.850054938347,0.004028504001325928,62,0.023651123046875,0.63629150390625,100.0,100.0
8192,doublefloat_triton_base,3686.850054938347,0.005927688995143399,56,0.0213623046875,0.65155029296875,100.0,100.0
8192,doublefloat_triton_t8,3686.850054938347,0.08375187000638107,0,0.0,0.008392333984375,100.0,100.0
8192,fp64_pytorch,3686.850054938347,0.08598267399793258,0,0.0,0.0,100.0,100.0
