case,method,delta_real,delta_imag,tol,max_iter,grid,points,converged,convergence_fraction,failure_fraction,mean_iterations,p50_iterations,p90_iterations,p95_iterations,p99_iterations,max_iterations,root0_fraction,root1_fraction,root2_fraction,neighbor_root_flip_fraction,failed_neighbor_pair_fraction,elapsed_seconds
newton,newton,nan,nan,5e-07,55,1024,1048576,1048574,0.9999980926513672,1.9073486328125e-06,6.814431790221768,6.0,11.0,13.0,19.0,47,0.3419170379638672,0.32904052734375,0.32904052734375,0.016945285562093574,3.8184261974584555e-06,0.9125576879996515
secant_delta_0p2_0p2i,secant,0.2,0.2,5e-07,65,1024,1048576,991248,0.9453277587890625,0.0546722412109375,9.119637063580456,8.0,14.0,18.0,28.0,65,0.35992431640625,0.3155651092529297,0.2698383331298828,0.020832178645504143,0.06132535664100684,2.031291841998609
secant_delta_0p1_0p1i,secant,0.1,0.1,5e-07,65,1024,1048576,989629,0.9437837600708008,0.05621623992919922,9.10878824286677,8.0,14.0,18.0,27.0,65,0.34384632110595703,0.3114185333251953,0.28851890563964844,0.020800449034621405,0.06289950284090909,2.03312677500071
secant_delta_0p3_0p3i,secant,0.3,0.3,5e-07,65,1024,1048576,993896,0.9478530883789062,0.05214691162109375,9.112417194555567,8.0,14.0,18.0,28.0,65,0.37637996673583984,0.31966209411621094,0.25181102752685547,0.02072797117484025,0.05867870998289345,2.0068290089984657
secant_delta_0p2_0p0i,secant,0.2,0.0,5e-07,65,1024,1048576,991164,0.9452476501464844,0.054752349853515625,9.080390328946573,8.0,14.0,18.0,27.0,65,0.36052703857421875,0.2923603057861328,0.2923603057861328,0.020329243758233254,0.06120603082233626,2.048124346001714
secant_delta_0p0_0p2i,secant,0.0,0.2,5e-07,65,1024,1048576,988929,0.9431161880493164,0.056883811950683594,9.147457502004693,8.0,14.0,18.0,28.0,65,0.32654476165771484,0.33156681060791016,0.2850046157836914,0.021032859542214306,0.06360973011363637,2.0230807370026014
