run_prefix,compute_grid,render_grid,factor,tile_rows,threads,max_iter,tol,warmup_runs,timed_repeats,sample_count,timing_scope,elapsed_seconds,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_median,elapsed_seconds_iqr,elapsed_seconds_best,throughput_gpoints_per_s,throughput_gpoints_per_s_mean,throughput_gpoints_per_s_std,throughput_gpoints_per_s_median,throughput_gpoints_per_s_iqr,throughput_gpoints_per_s_best,peak_rss_gib,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction,source_command,source_csv
problem1_cpu_ultra_bench_smoke_64,64,32,2,8,2,55,5e-07,0,2,2,process_full_run,0.00032892450000000003,0.00032892450000000003,4.07427856251877e-05,0.00032892450000000003,2.8809499999999982e-05,0.000300115,0.0125489745,0.0125489745,0.001554399603063671,0.0125489745,0.0010991265000000004,0.013648101,0.026592255,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,./problem1_cpu_ultra --compute-grid 64 --render-grid 32 --tile-rows 8 --threads 2 --max-iter 55 --tol 5e-07 --output-prefix problem1_cpu_ultra_bench_smoke_64_r01 | ./problem1_cpu_ultra --compute-grid 64 --render-grid 32 --tile-rows 8 --threads 2 --max-iter 55 --tol 5e-07 --output-prefix problem1_cpu_ultra_bench_smoke_64_r02,result/analysis/problem1_cpu_ultra_bench_smoke_64_r01.csv | result/analysis/problem1_cpu_ultra_bench_smoke_64_r02.csv
problem1_cpu_ultra_bench_smoke_128,128,32,4,8,2,55,5e-07,0,2,2,process_full_run,0.0006474524999999999,0.0006474524999999999,0.00011808329692424748,0.0006474524999999999,8.349749999999993e-05,0.000563955,0.0257333145,0.0257333145,0.004693277717449129,0.0257333145,0.0033186485,0.029051963,0.029312134,1.0,6.825805664062,0.341186523438,0.329406738281,0.329406738281,./problem1_cpu_ultra --compute-grid 128 --render-grid 32 --tile-rows 8 --threads 2 --max-iter 55 --tol 5e-07 --output-prefix problem1_cpu_ultra_bench_smoke_128_r01 | ./problem1_cpu_ultra --compute-grid 128 --render-grid 32 --tile-rows 8 --threads 2 --max-iter 55 --tol 5e-07 --output-prefix problem1_cpu_ultra_bench_smoke_128_r02,result/analysis/problem1_cpu_ultra_bench_smoke_128_r01.csv | result/analysis/problem1_cpu_ultra_bench_smoke_128_r02.csv
