N,p,mean_x,theory_mean_x,variance,theory_variance,origin_mean_square,max_x,max_probability,fwhm_lattice_width,sigma
16,0.5,1.5538243434976007e-15,0.0,16.00000000000001,16.0,16.00000000000001,0,0.19638061523437453,8,4.000000000000001
32,0.5,3.774758363134871e-15,0.0,32.00000000000003,32.0,32.00000000000003,0,0.13994993409141904,12,5.656854249492382
64,0.5,4.152928001488476e-15,0.0,64.00000000000014,64.0,64.00000000000014,0,0.09934675374796766,16,8.000000000000009
128,0.5,-1.9539925233402755e-14,0.0,127.9999999999993,128.0,127.9999999999993,0,0.07038609217001748,24,11.31370849898473
256,0.5,-3.4638958368304884e-14,0.0,255.9999999999975,256.0,255.9999999999975,0,0.04981910993614426,36,15.999999999999922
512,0.5,5.329070518200751e-15,0.0,511.9999999999819,512.0,511.9999999999819,0,0.0352446354858279,52,22.62741699796912
1024,0.5,1.7763568394002505e-15,0.0,1023.999999999932,1024.0,1023.999999999932,0,0.024927805892983483,72,31.999999999998938
