model,N,samples,mean_Re2,mean_Rg2,Rg2_over_Re2,acceptance_rate,effective_samples,tau_Re2,tau_Rg2
2d_random_direction,16,22000,16.015597509212746,2.826118784279698,0.17646040259528334,1.0,22000,1.0,1.0
2d_random_direction,32,22000,32.17111499322255,5.509757225750092,0.17126410529789923,1.0,22000,1.0,1.0
2d_random_direction,64,22000,63.58089521437399,10.823851693452745,0.17023748497026123,1.0,22000,1.0,1.0
2d_random_direction,128,22000,128.65985176761754,21.576875442629948,0.16770480570428142,1.0,22000,1.0,1.0
2d_random_direction,256,22000,257.5155354972805,42.956962240479456,0.1668130901598871,1.0,22000,1.0,1.0
2d_random_direction,512,22000,510.46505286526906,85.33063640636463,0.16716254311122566,1.0,22000,1.0,1.0
2d_random_direction,1024,22000,1024.4567657860346,170.54465612154542,0.16647325862569876,1.0,22000,1.0,1.0
2d_random_direction,2048,22000,2045.8236419080658,342.27644074233274,0.16730495910346596,1.0,22000,1.0,1.0
2d_random_direction,4096,22000,4076.2948991579005,682.4962750941564,0.16743054464365412,1.0,22000,1.0,1.0
2d_lattice_traditional,16,22000,16.110636363636363,2.829635734507707,0.1756377383636151,1.0,22000,1.0,1.0
2d_lattice_traditional,32,22000,32.160545454545456,5.5173759078387175,0.1715572864159526,1.0,22000,1.0,1.0
2d_lattice_traditional,64,22000,64.26518181818182,10.893882108660572,0.16951453027054986,1.0,22000,1.0,1.0
2d_lattice_traditional,128,22000,128.56390909090908,21.54008223391295,0.16754377170253668,1.0,22000,1.0,1.0
2d_lattice_traditional,256,22000,257.2029090909091,42.785704109483454,0.16635000070843184,1.0,22000,1.0,1.0
2d_lattice_traditional,512,22000,514.0780909090909,85.62710891031308,0.1665644002818539,1.0,22000,1.0,1.0
2d_lattice_traditional,1024,22000,1026.3082727272727,170.78316643833216,0.1664053296428172,1.0,22000,1.0,1.0
2d_lattice_traditional,2048,22000,2048.9506363636365,342.35714332027834,0.16708901485683167,1.0,22000,1.0,1.0
2d_lattice_traditional,4096,22000,4095.075363636364,681.7535235940712,0.16648131305419606,1.0,22000,1.0,1.0
2d_self_avoiding,16,1600,53.2925,7.5178503460207615,0.14106769894489396,0.5727103960396039,956.2400119234894,1.255771211806532,1.6732200912421338
2d_self_avoiding,32,1600,147.98,20.4842883379247,0.1384260598589316,0.49984681372549017,519.574512387579,1.8820425594595536,3.079442816868724
2d_self_avoiding,64,1600,410.615,57.04834852071006,0.1389339125962521,0.4374248798076923,350.7103901255894,2.4104511798075916,4.5621688009500945
2d_self_avoiding,128,1400,1145.087142857143,161.9022247976169,0.14138856226579366,0.3854057591623037,432.3125082254617,1.7821730198053025,3.2383980878708813
2d_self_avoiding,256,1200,3116.38,438.93763930314356,0.1408485612483534,0.33132045088566825,354.20691997922575,2.0950146659762696,3.387850243214842
2d_self_avoiding,512,1000,8954.802,1242.6667439934035,0.13877099058062967,0.2881039415130324,260.08298739900647,2.036884850301206,3.8449266136190965
2d_self_avoiding,1024,800,24473.3,3525.493806588935,0.14405469661177428,0.25865557553956836,342.6483537198292,1.1910903840768252,2.3347551252329386
