N,p,mean_x,theory_mean_x,variance,theory_variance,origin_mean_square,max_x,max_probability,fwhm_lattice_width,sigma
16,0.7,6.3999999999999995,6.399999999999999,13.439999999999987,13.440000000000001,54.39999999999998,6,0.20987820608620317,6,3.66606055596467
32,0.7,12.8,12.799999999999997,26.880000000000024,26.880000000000003,190.72000000000006,14,0.15109862022884743,10,5.18459255872629
64,0.7,25.59999999999997,25.599999999999994,53.760000000000126,53.760000000000005,709.1199999999985,26,0.10844912574338937,16,7.332121111929353
128,0.7,51.20000000000002,51.19999999999999,107.51999999999921,107.52000000000001,2728.960000000001,52,0.07676002621090797,22,10.369185117452538
256,0.7,102.3999999999998,102.39999999999998,215.03999999999937,215.04000000000002,10700.79999999996,102,0.05428325181778016,32,14.664242223858666
512,0.7,204.80000000000018,204.79999999999995,430.07999999999384,430.08000000000004,42373.12000000007,206,0.038428889982602916,46,20.738370234905005
1024,0.7,409.6000000000003,409.5999999999999,860.1599999999569,860.1600000000001,168632.3200000002,410,0.02719930844624951,68,29.32848444771664
