digits,terms,seconds,digits_per_second,workers_used,chunk_terms,bs_leaf_terms,gpu_threshold_digits,gpu_stages,gpu_chunk_format,sqrt_mode,division_mode,chunk_arith_backend,gpu_calls,cpu_calls,merge_gpu_calls,final_gpu_calls,gpu_prepare_seconds,gpu_backend_total_seconds,gpu_kernel_seconds,gpu_finalize_seconds,gpu_peak_gb,gpu_max_operand_digits,partial_generation_seconds,sqrt_compute_seconds,chunk_conversion_seconds,merge_tree_seconds,sqrt_conversion_seconds,final_chunk_to_mpz_seconds,final_division_seconds,division_fallback_used,newton_reciprocal_seconds,newton_qd_multiply_seconds,newton_correction_seconds,newton_reciprocal_iterations,newton_correction_digits,newton_cpu_correction_used,newton_chunk_fastpath_used,prefix_matches_reference
100000,7147,0.5968610990003071,167543.16903462415,32,8192,8,50000,merge-and-final,binary16,chunk-gpu-rsqrt-prototype,newton-chunk-gpu-seed-prototype,auto,14,42,11,3,0.0,0.08924858400496305,0.01345694699739397,0.0,0.027199268341064453,287992,0.024157949001164525,0.45439553299911495,0.0006989829998929054,0.0033691129992803326,0.0,0.0004559480003081262,0.11362388499946974,False,0.0858638379995682,0.0025271550002798904,0.014100753000093391,13,0,False,True,True
500000,35718,0.35740183999951114,1398985.5228520478,32,8192,8,50000,merge-and-final,binary16,chunk-gpu-rsqrt-prototype,newton-chunk-gpu-seed-prototype,auto,42,42,39,3,0.0,0.11042698100209236,0.03401146400028665,0.0,0.11945724487304688,1514239,0.14606740000090213,0.09095681699909619,0.003300678999949014,0.051672469000550336,0.0,0.001541473000543192,0.06356044099993596,False,0.04797566600063874,0.004387999999380554,0.0030983670003479347,16,0,False,True,True
1000000,71433,0.500769718999436,1996925.856455642,32,8192,8,50000,merge-and-final,binary16,chunk-gpu-rsqrt-prototype,newton-chunk-gpu-seed-prototype,auto,62,42,59,3,0.0,0.18141855901012605,0.06418997600121656,0.0,0.2376551628112793,3092865,0.1824186580015521,0.11649152599966328,0.006879862999994657,0.10835804199996346,0.0,0.0034054980005748803,0.08241468699998222,False,0.06051073699927656,0.0052399920004972955,0.0028977060010220157,17,0,False,True,True
