route,target_digits,seconds,digits_per_second,prefix_ok,status,stop_reason,notes
cpu-cpp,150000000,114.596,1308950.0,True,ok,,"threads=44,chunk_terms=1048576"
cpu-cpp,200000000,156.576,1277330.0,True,ok,,"threads=44,chunk_terms=1048576"
