route,target_digits,seconds,digits_per_second,prefix_ok,status,stop_reason,notes
hybrid-fast-auto,120000000,27.65022639000381,4339928.299588272,True,ok,,"workers=32,chunk_terms=262144,gpu_stages=merge-and-final,sqrt=chunk-gpu-rsqrt-prototype,div=newton-chunk-gpu-seed-prototype,chunk_backend=auto"
hybrid-fast-auto,130000000,21.195770161997643,6133299.191603796,True,ok,,"workers=32,chunk_terms=262144,gpu_stages=merge-and-final,sqrt=chunk-gpu-rsqrt-prototype,div=newton-chunk-gpu-seed-prototype,chunk_backend=auto"
hybrid-fast-auto,140000000,0.0,0.0,False,failed,exception,"CUDA out of memory. Tried to allocate 1.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 1.00 GiB is free. Process 5906 has 293.38 MiB memory in use. Process 343080 has 9.54 MiB memory in use. Including non-PyTorch memory, this process has 21.87 GiB memory in use. Of the allocated memory 14.44 GiB is allocated by PyTorch, and 7.13 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
