node_count,polynomial_degree,max_abs_error,rmse,neville_vs_barycentric_max_diff,neville_vs_barycentric_rmse,neville_seconds,barycentric_seconds
7,6,0.8048996524098561,0.2465718168057619,5.551115123125783e-16,1.1181982100409583e-16,0.0011133730004075915,0.00040150499989977106
9,8,0.3983078513598824,0.10140346748364225,1.1102230246251565e-15,1.5019895812270727e-16,0.0020052230029250495,0.0004044599991175346
17,16,0.00016216344232833357,3.026736722857379e-05,6.539213615042172e-14,5.049540731326898e-15,0.004438157004187815,0.0005260059988358989
19,18,1.0881958167785477e-05,1.9273552037748753e-06,3.480549182199866e-13,3.2915058791957557e-14,0.005248579000181053,0.0005865059938514605
21,20,5.868754717752722e-07,9.914062705195827e-08,9.168221737354543e-13,1.141529879629614e-13,0.0057442420002189465,0.0005965999953332357
