decimal_digits,chunks,fft_length,backend_total_seconds,gmp_reference_seconds,carry_passes,exact_match
10000,2500,8192,0.006728189000568818,0.00022942299983697012,3,True
100000,25000,65536,0.01810693700099364,0.003914709999662591,4,True
500000,125000,262144,0.03437125699929311,0.03014136999991024,4,True
1000000,250000,524288,0.03230292399894097,0.07336279200171703,4,True
5000000,1250000,4194304,0.12634769499709364,0.5050367350013403,5,True
