route,parallel_mode,target_digits,repeats,avg_seconds,best_seconds,median_seconds,iqr_seconds,avg_digits_per_second,best_digits_per_second,median_digits_per_second,iqr_digits_per_second,threads,chunk_terms,leaf_terms,task_terms,prefix_ok,status,seconds_samples,digits_per_second_samples,run_index_samples,execution_order,order_strategy,seed,loadavg_start,loadavg_end,omp_proc_bind,omp_places,process_cpu_affinity,cpu_governor,cpu_frequency_mhz,nvidia_smi
cpp_gmp_openmp,chunked,100000,5,0.0282079,0.0216174,0.0312358,0.006667900000000001,3632376.0,4625910.0,3201450.0,846260.0,4,8192,8,8192,True,ok,0.031601;0.031236;0.031652;0.024933;0.021617,3164450.00;3201450.00;3159360.00;4010710.00;4625910.00,1;3;5;7;9,1:sample1;3:sample2;5:sample3;7:sample4;9:sample5,interleave,20260615,"3.42,2.99,1.75","3.31,2.97,1.75",,,0-87,schedutil,1200.2,"NVIDIA GeForce RTX 3090, 51, 118.87, 2, 748, 24576"
cpp_gmp_openmp_tasks,tasks,100000,5,0.027939099999999998,0.0251111,0.0270948,0.005258499999999999,3609382.0,3982300.0,3690750.0,669750.0,4,8192,8,8192,True,ok,0.027095;0.025514;0.030773;0.025111;0.031202,3690750.00;3919350.00;3249600.00;3982300.00;3204910.00,2;4;6;8;10,2:sample1;4:sample2;6:sample3;8:sample4;10:sample5,interleave,20260615,"3.42,2.99,1.75","3.31,2.97,1.75",,,0-87,schedutil,1200.2,"NVIDIA GeForce RTX 3090, 51, 118.87, 2, 748, 24576"
