decimal_digits,chunks,fft_length,backend_total_seconds,gmp_reference_seconds,carry_passes,exact_match
10000,2500,8192,0.007811360999767203,0.00030558599974028766,3,True
100000,25000,65536,0.010002020997490035,0.005381155999202747,4,True
500000,125000,262144,0.007688435998716159,0.03938445400126511,4,True
1000000,250000,524288,0.005864152000867762,0.08898798799782526,4,True
