digits,terms,seconds,digits_per_second,workers_used,chunk_terms,bs_leaf_terms,gpu_threshold_digits,gpu_stages,gpu_chunk_format,sqrt_mode,division_mode,chunk_arith_backend,gpu_calls,cpu_calls,merge_gpu_calls,final_gpu_calls,gpu_prepare_seconds,gpu_backend_total_seconds,gpu_kernel_seconds,gpu_finalize_seconds,gpu_peak_gb,gpu_max_operand_digits,partial_generation_seconds,sqrt_compute_seconds,chunk_conversion_seconds,merge_tree_seconds,sqrt_conversion_seconds,final_chunk_to_mpz_seconds,final_division_seconds,division_fallback_used,newton_reciprocal_seconds,newton_qd_multiply_seconds,newton_correction_seconds,newton_reciprocal_iterations,newton_correction_digits,newton_cpu_correction_used,newton_chunk_fastpath_used,prefix_matches_reference
5000000,357147,1.4567188399996667,3432371.3421604023,32,16384,8,50000,merge-and-final,binary16,chunk-gpu-rsqrt-prototype,newton-chunk-gpu-seed-prototype,auto,118,2,115,3,0.0,0.5693891000046278,0.2781628369939426,0.0,1.764756679534912,16212537,0.2693115299989586,0.553130248999878,0.039623916998607456,0.42445432499880553,0.0,0.01314155000000028,0.15492287400047644,False,0.07452229100090335,0.015535262000412331,0.017223745000592317,8,0,False,True,True
20000000,1428575,3.00198015100068,6662269.233636738,32,65536,8,50000,merge-and-final,binary16,chunk-gpu-rsqrt-prototype,newton-chunk-gpu-seed-prototype,auto,126,2,123,3,0.0,1.447947123007907,0.9582326960007777,0.0,7.0930562019348145,67429877,0.8744431969989819,0.4952817440007493,0.16615736200037645,0.9927151749998302,0.0,0.045165518999056076,0.41950425899995025,False,0.21380810700065922,0.05546694199983904,0.01048187300148129,10,0,False,True,True
100000000,7142861,15.417480154999794,6486144.233340921,32,262144,8,50000,merge-and-final,binary16,chunk-gpu-rsqrt-prototype,newton-chunk-gpu-seed-prototype,auto,162,2,159,3,0.0,8.314040531993669,6.083702801988693,0.0,16.679338932037354,352126693,4.367527073000019,2.822941759000969,0.6980188289999205,4.693231559000196,0.0,0.25802603400006774,2.5136039339995477,False,1.3166341900014231,0.42097076299978653,0.05011083400131611,13,0,False,True,True
