size,block_size,reps,root_diff_pixels,iter_diff_pixels,max_iter_diff,convergence_fraction_delta,mean_iterations_delta,root0_fraction_delta,root1_fraction_delta,root2_fraction_delta,reference_seconds,triton_seconds,speedup
1024,256,3,26,4004,48,-1.9073486328125e-06,0.00039637530358849205,5.7220458984375e-06,-3.814697265625e-06,-3.814697265625e-06,0.22341577699990012,0.0009882360027404502,226.0753265215515
1536,256,3,52,9158,15,0.0,0.00043318006727499636,-8.477105034598864e-07,4.238552517299432e-07,4.238552517299432e-07,0.30475019100049394,0.0014566970021405723,209.20630066010483
